,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,HHGD,AHGD,DiffFormPts
0,2024-08-16,Man United,Fulham,-0.40319020091539864,-1.1904345307208835,1,-0.8478928585481879,-0.7429084307898843,0,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
1,2024-08-17,Ipswich,Liverpool,-1.1817643819934098,0.4315687228160868,2,-0.8478928585481879,-0.7429084307898843,0,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
2,2024-08-17,Arsenal,Wolves,0.3753839801626126,-1.1904345307208835,1,0.28804015768861885,-0.7429084307898843,1,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
3,2024-08-17,Everton,Brighton,-1.1817643819934098,1.242570349584572,2,-0.8478928585481879,0.4063421803767875,2,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
4,2024-08-17,Newcastle,Southampton,-0.40319020091539864,-1.1904345307208835,1,0.28804015768861885,-0.7429084307898843,1,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
5,2024-08-17,Nott'm Forest,Bournemouth,-0.40319020091539864,-0.3794329039523983,0,0.28804015768861885,-0.7429084307898843,1,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
6,2024-08-17,West Ham,Aston Villa,-0.40319020091539864,0.4315687228160868,2,0.28804015768861885,0.4063421803767875,0,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
7,2024-08-18,Brentford,Crystal Palace,0.3753839801626126,-0.3794329039523983,1,0.28804015768861885,-0.7429084307898843,1,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
8,2024-08-18,Chelsea,Man City,-1.1817643819934098,0.4315687228160868,2,-0.8478928585481879,0.4063421803767875,2,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
9,2024-08-19,Leicester,Tottenham,-0.40319020091539864,-0.3794329039523983,0,-0.8478928585481879,0.4063421803767875,2,-1.9769508706046934,-1.9568638074551656,M,M,M,M,M,M,-0.005998703082647927,-0.0005455644204540734,0.011300748868740204,-0.017529830458183297,0.02153645693636126
10,2024-08-24,Brighton,Man United,0.3753839801626126,-0.3794329039523983,1,0.28804015768861885,-0.7429084307898843,1,0.5594071639006468,0.5217409905357365,W,M,M,W,M,M,2.0456401966056363,0.665096516902131,1.2859839195587897,-0.017529830458183297,0.02153645693636126
11,2024-08-24,Crystal Palace,West Ham,-1.1817643819934098,0.4315687228160868,2,-0.8478928585481879,-0.7429084307898843,0,-1.9769508706046934,-1.9568638074551656,L,M,M,L,M,M,-0.689878336312076,-0.6661876457430392,-1.2633824218213092,-0.017529830458183297,0.02153645693636126
12,2024-08-24,Fulham,Leicester,0.3753839801626126,-0.3794329039523983,1,0.28804015768861885,0.4063421803767875,0,-1.9769508706046934,-1.130662208124865,L,M,M,D,M,M,-0.689878336312076,-0.0005455644204540734,0.011300748868740204,-1.2634974801592367,-1.0455426649722015
13,2024-08-24,Man City,Ipswich,1.9325323423186351,-0.3794329039523983,1,2.5599061901622324,0.4063421803767875,1,0.5594071639006468,-1.9568638074551656,W,M,M,L,M,M,1.3617605633762084,-1.3318297270656243,1.2859839195587897,-0.017529830458183297,3.2227738226620493
14,2024-08-24,Southampton,Nott'm Forest,-1.1817643819934098,-0.3794329039523983,2,-0.8478928585481879,-0.7429084307898843,0,-1.9769508706046934,-1.130662208124865,L,M,M,D,M,M,-0.689878336312076,-0.0005455644204540734,-1.2633824218213092,1.22843781924287,-1.0455426649722015
15,2024-08-24,Tottenham,Everton,1.9325323423186351,-1.1904345307208835,1,1.4239731739254256,-0.7429084307898843,1,-1.1314981924362466,-1.9568638074551656,D,M,M,L,M,M,-0.005998703082647927,-1.9974718083882093,1.2859839195587897,-1.2634974801592367,1.0886155788449239
16,2024-08-24,Aston Villa,Arsenal,-1.1817643819934098,0.4315687228160868,2,-0.8478928585481879,-0.7429084307898843,0,0.5594071639006468,0.5217409905357365,W,M,M,W,M,M,0.6778809301467802,1.3307385982247162,0.011300748868740204,1.22843781924287,0.02153645693636126
17,2024-08-25,Bournemouth,Newcastle,-0.40319020091539864,-0.3794329039523983,0,0.28804015768861885,-0.7429084307898843,1,-1.1314981924362466,0.5217409905357365,D,M,M,W,M,M,-0.005998703082647927,0.665096516902131,-1.2633824218213092,1.22843781924287,-2.1126217868807644
